benchmark,function,loop_id,loop_depth,is_innermost,num_subloops,trip_count_known,trip_count,max_trip_count_known,max_trip_count,num_instructions,num_loads,num_stores,num_integer_ops,num_float_ops,num_forward_contiguous_loads,num_strided_loads,num_forward_contiguous_stores,num_strided_stores,tile_size,synthetic_speedup,profitable
3mm,kernel_3mm,9,2,0,1,1,1200,1,1200,54,21,5,2,0,0,0,0,0,32,1.3,1
3mm,kernel_3mm,9,2,0,1,1,1200,1,1200,54,21,5,2,0,0,0,0,0,64,1.3,1
3mm,kernel_3mm,10,3,1,0,1,1100,1,1100,35,15,2,1,0,0,0,0,0,8,1.3,1
3mm,kernel_3mm,10,3,1,0,1,1100,1,1100,35,15,2,1,0,0,0,0,0,16,1.3,1
3mm,kernel_3mm,10,3,1,0,1,1100,1,1100,35,15,2,1,0,0,0,0,0,32,1.3,1
3mm,kernel_3mm,10,3,1,0,1,1100,1,1100,35,15,2,1,0,0,0,0,0,64,1.3,1
3mm,kernel_3mm,11,1,0,1,1,900,1,900,65,24,7,3,0,0,0,0,0,8,1.081,1
3mm,kernel_3mm,11,1,0,1,1,900,1,900,65,24,7,3,0,0,0,0,0,16,1.117,1
3mm,kernel_3mm,11,1,0,1,1,900,1,900,65,24,7,3,0,0,0,0,0,32,1.149,1
3mm,kernel_3mm,11,1,0,1,1,900,1,900,65,24,7,3,0,0,0,0,0,64,1.073,1
3mm,kernel_3mm,12,2,0,1,1,1200,1,1200,54,21,5,2,0,0,0,0,0,8,1.3,1
3mm,kernel_3mm,12,2,0,1,1,1200,1,1200,54,21,5,2,0,0,0,0,0,16,1.3,1
3mm,kernel_3mm,12,2,0,1,1,1200,1,1200,54,21,5,2,0,0,0,0,0,32,1.3,1
3mm,kernel_3mm,12,2,0,1,1,1200,1,1200,54,21,5,2,0,0,0,0,0,64,1.3,1
3mm,kernel_3mm,13,3,1,0,1,1000,1,1000,35,15,2,1,0,0,0,0,0,8,1.3,1
3mm,kernel_3mm,13,3,1,0,1,1000,1,1000,35,15,2,1,0,0,0,0,0,16,1.3,1
3mm,kernel_3mm,13,3,1,0,1,1000,1,1000,35,15,2,1,0,0,0,0,0,32,1.3,1
3mm,kernel_3mm,13,3,1,0,1,1000,1,1000,35,15,2,1,0,0,0,0,0,64,1.3,1
3mm,kernel_3mm,14,1,0,1,1,900,1,900,65,24,7,3,0,0,0,0,0,8,1.081,1
3mm,kernel_3mm,14,1,0,1,1,900,1,900,65,24,7,3,0,0,0,0,0,16,1.117,1
3mm,kernel_3mm,14,1,0,1,1,900,1,900,65,24,7,3,0,0,0,0,0,32,1.149,1
3mm,kernel_3mm,14,1,0,1,1,900,1,900,65,24,7,3,0,0,0,0,0,64,1.073,1
3mm,kernel_3mm,15,2,0,1,1,800,1,800,54,21,5,2,0,0,0,0,0,8,1.3,1
3mm,kernel_3mm,15,2,0,1,1,800,1,800,54,21,5,2,0,0,0,0,0,16,1.3,1
3mm,kernel_3mm,15,2,0,1,1,800,1,800,54,21,5,2,0,0,0,0,0,32,1.3,1
3mm,kernel_3mm,15,2,0,1,1,800,1,800,54,21,5,2,0,0,0,0,0,64,1.3,1
3mm,kernel_3mm,16,3,1,0,1,1000,1,1000,35,15,2,1,0,0,0,0,0,8,1.3,1
3mm,kernel_3mm,16,3,1,0,1,1000,1,1000,35,15,2,1,0,0,0,0,0,16,1.3,1
3mm,kernel_3mm,16,3,1,0,1,1000,1,1000,35,15,2,1,0,0,0,0,0,32,1.3,1
3mm,kernel_3mm,16,3,1,0,1,1000,1,1000,35,15,2,1,0,0,0,0,0,64,1.3,1
3mm,print_array,17,1,0,1,1,800,1,800,41,15,3,5,0,0,0,0,0,8,1.053,1
3mm,print_array,17,1,0,1,1,800,1,800,41,15,3,5,0,0,0,0,0,16,1.099,1
3mm,print_array,17,1,0,1,1,800,1,800,41,15,3,5,0,0,0,0,0,32,1.131,1
3mm,print_array,17,1,0,1,1,800,1,800,41,15,3,5,0,0,0,0,0,64,1.025,1
3mm,print_array,18,2,1,0,1,1100,1,1100,30,12,1,4,0,0,0,0,0,8,1.262,1
3mm,print_array,18,2,1,0,1,1100,1,1100,30,12,1,4,0,0,0,0,0,16,1.248,1
3mm,print_array,18,2,1,0,1,1100,1,1100,30,12,1,4,0,0,0,0,0,32,1.3,1
3mm,print_array,18,2,1,0,1,1100,1,1100,30,12,1,4,0,0,0,0,0,64,1.284,1
atax,init_array,0,1,0,1,1,1900,1,1900,38,13,4,5,1,0,0,0,0,8,1.065,1
atax,init_array,0,1,0,1,1,1900,1,1900,38,13,4,5,1,0,0,0,0,16,1.051,1
atax,init_array,0,1,0,1,1,1900,1,1900,38,13,4,5,1,0,0,0,0,32,1.123,1
atax,init_array,0,1,0,1,1,1900,1,1900,38,13,4,5,1,0,0,0,0,64,1.097,1
atax,init_array,1,2,1,0,1,2100,1,2100,27,10,2,4,1,0,0,0,0,8,1.3,1
atax,init_array,1,2,1,0,1,2100,1,2100,27,10,2,4,1,0,0,0,0,16,1.3,1
atax,init_array,1,2,1,0,1,2100,1,2100,27,10,2,4,1,0,0,0,0,32,1.3,1
atax,init_array,1,2,1,0,1,2100,1,2100,27,10,2,4,1,0,0,0,0,64,1.3,1
atax,init_array,2,1,1,0,1,2100,1,2100,19,7,2,1,2,0,0,0,0,8,0.865,0
atax,init_array,2,1,1,0,1,2100,1,2100,19,7,2,1,2,0,0,0,0,16,0.881,0
atax,init_array,2,1,1,0,1,2100,1,2100,19,7,2,1,2,0,0,0,0,32,0.923,0
atax,init_array,2,1,1,0,1,2100,1,2100,19,7,2,1,2,0,0,0,0,64,0.857,0
atax,kernel_atax,3,1,0,2,1,1900,1,1900,84,35,8,3,0,0,0,0,0,8,1.3,1
atax,kernel_atax,3,1,0,2,1,1900,1,1900,84,35,8,3,0,0,0,0,0,16,1.3,1
atax,kernel_atax,3,1,0,2,1,1900,1,1900,84,35,8,3,0,0,0,0,0,32,1.3,1
atax,kernel_atax,3,1,0,2,1,1900,1,1900,84,35,8,3,0,0,0,0,0,64,1.3,1
atax,kernel_atax,4,2,1,0,1,2100,1,2100,33,15,2,1,0,0,0,0,0,8,1.3,1
atax,kernel_atax,4,2,1,0,1,2100,1,2100,33,15,2,1,0,0,0,0,0,16,1.3,1
atax,kernel_atax,4,2,1,0,1,2100,1,2100,33,15,2,1,0,0,0,0,0,32,1.3,1
atax,kernel_atax,4,2,1,0,1,2100,1,2100,33,15,2,1,0,0,0,0,0,64,1.3,1
atax,kernel_atax,5,2,1,0,1,2100,1,2100,33,15,2,1,0,0,0,0,0,8,1.3,1
atax,kernel_atax,5,2,1,0,1,2100,1,2100,33,15,2,1,0,0,0,0,0,16,1.3,1
atax,kernel_atax,5,2,1,0,1,2100,1,2100,33,15,2,1,0,0,0,0,0,32,1.3,1
atax,kernel_atax,5,2,1,0,1,2100,1,2100,33,15,2,1,0,0,0,0,0,64,1.3,1
atax,kernel_atax,6,1,1,0,1,2100,1,2100,14,5,2,1,0,0,0,0,0,8,0.762,0
atax,kernel_atax,6,1,1,0,1,2100,1,2100,14,5,2,1,0,0,0,0,0,16,0.778,0
atax,kernel_atax,6,1,1,0,1,2100,1,2100,14,5,2,1,0,0,0,0,0,32,0.82,0
atax,kernel_atax,6,1,1,0,1,2100,1,2100,14,5,2,1,0,0,0,0,0,64,0.754,0
gemm,init_array,0,1,0,1,1,1000,1,1000,38,13,4,5,1,0,0,0,0,8,1.085,1
gemm,init_array,0,1,0,1,1,1000,1,1000,38,13,4,5,1,0,0,0,0,16,1.101,1
gemm,init_array,0,1,0,1,1,1000,1,1000,38,13,4,5,1,0,0,0,0,32,1.123,1
gemm,init_array,0,1,0,1,1,1000,1,1000,38,13,4,5,1,0,0,0,0,64,1.057,1
gemm,init_array,1,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,8,1.249,1
gemm,init_array,1,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,16,1.235,1
gemm,init_array,1,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,32,1.3,1
gemm,init_array,1,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,64,1.271,1
gemm,init_array,2,1,0,1,1,1200,1,1200,38,13,4,5,1,0,0,0,0,8,1.097,1
gemm,init_array,2,1,0,1,1,1200,1,1200,38,13,4,5,1,0,0,0,0,16,1.123,1
gemm,init_array,2,1,0,1,1,1200,1,1200,38,13,4,5,1,0,0,0,0,32,1.125,1
gemm,init_array,2,1,0,1,1,1200,1,1200,38,13,4,5,1,0,0,0,0,64,1.059,1
gemm,init_array,3,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,8,1.249,1
gemm,init_array,3,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,16,1.235,1
gemm,init_array,3,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,32,1.3,1
gemm,init_array,3,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,64,1.271,1
gemm,init_array,4,1,0,1,1,1200,1,1200,38,13,4,5,1,0,0,0,0,8,1.097,1
gemm,init_array,4,1,0,1,1,1200,1,1200,38,13,4,5,1,0,0,0,0,16,1.123,1
gemm,init_array,4,1,0,1,1,1200,1,1200,38,13,4,5,1,0,0,0,0,32,1.125,1
gemm,init_array,4,1,0,1,1,1200,1,1200,38,13,4,5,1,0,0,0,0,64,1.059,1
gemm,init_array,5,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,8,1.249,1
gemm,init_array,5,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,16,1.235,1
gemm,init_array,5,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,32,1.3,1
gemm,init_array,5,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,64,1.271,1
gemm,kernel_gemm,6,1,0,2,1,1000,1,1000,81,30,9,4,2,0,0,0,0,8,1.3,1
gemm,kernel_gemm,6,1,0,2,1,1000,1,1000,81,30,9,4,2,0,0,0,0,16,1.3,1
gemm,kernel_gemm,6,1,0,2,1,1000,1,1000,81,30,9,4,2,0,0,0,0,32,1.3,1
gemm,kernel_gemm,6,1,0,2,1,1000,1,1000,81,30,9,4,2,0,0,0,0,64,1.3,1
gemm,kernel_gemm,7,2,1,0,1,1200,1,1200,20,8,2,1,1,0,0,0,0,8,1.279,1
gemm,kernel_gemm,7,2,1,0,1,1200,1,1200,20,8,2,1,1,0,0,0,0,16,1.3,1
gemm,kernel_gemm,7,2,1,0,1,1200,1,1200,20,8,2,1,1,0,0,0,0,32,1.3,1
gemm,kernel_gemm,7,2,1,0,1,1200,1,1200,20,8,2,1,1,0,0,0,0,64,1.241,1
gemm,kernel_gemm,8,2,0,1,1,1000,1,1000,48,19,4,2,1,0,0,0,0,8,1.3,1
gemm,kernel_gemm,8,2,0,1,1,1000,1,1000,48,19,4,2,1,0,0,0,0,16,1.3,1
gemm,kernel_gemm,8,2,0,1,1,1000,1,1000,48,19,4,2,1,0,0,0,0,32,1.3,1
gemm,kernel_gemm,8,2,0,1,1,1000,1,1000,48,19,4,2,1,0,0,0,0,64,1.3,1
gemm,kernel_gemm,9,3,1,0,1,1100,1,1100,37,16,2,1,1,0,0,0,0,8,1.3,1
gemm,kernel_gemm,9,3,1,0,1,1100,1,1100,37,16,2,1,1,0,0,0,0,16,1.3,1
gemm,kernel_gemm,9,3,1,0,1,1100,1,1100,37,16,2,1,1,0,0,0,0,32,1.3,1
gemm,kernel_gemm,9,3,1,0,1,1100,1,1100,37,16,2,1,1,0,0,0,0,64,1.3,1
gemm,print_array,10,1,0,1,1,1000,1,1000,41,15,3,5,0,0,0,0,0,8,1.118,1
gemm,print_array,10,1,0,1,1,1000,1,1000,41,15,3,5,0,0,0,0,0,16,1.134,1
gemm,print_array,10,1,0,1,1,1000,1,1000,41,15,3,5,0,0,0,0,0,32,1.156,1
gemm,print_array,10,1,0,1,1,1000,1,1000,41,15,3,5,0,0,0,0,0,64,1.09,1
gemm,print_array,11,2,1,0,1,1100,1,1100,30,12,1,4,0,0,0,0,0,8,1.262,1
gemm,print_array,11,2,1,0,1,1100,1,1100,30,12,1,4,0,0,0,0,0,16,1.248,1
gemm,print_array,11,2,1,0,1,1100,1,1100,30,12,1,4,0,0,0,0,0,32,1.3,1
gemm,print_array,11,2,1,0,1,1100,1,1100,30,12,1,4,0,0,0,0,0,64,1.284,1
jacobi-2d,init_array,0,1,0,1,1,500,1,500,54,18,5,4,2,0,0,0,0,8,0.97,0
jacobi-2d,init_array,0,1,0,1,1,500,1,500,54,18,5,4,2,0,0,0,0,16,1.006,1
jacobi-2d,init_array,0,1,0,1,1,500,1,500,54,18,5,4,2,0,0,0,0,32,0.968,0
jacobi-2d,init_array,0,1,0,1,1,500,1,500,54,18,5,4,2,0,0,0,0,64,0.782,0
jacobi-2d,init_array,1,2,1,0,1,1298,1,1298,43,15,3,3,2,0,0,0,0,8,1.3,1
jacobi-2d,init_array,1,2,1,0,1,1298,1,1298,43,15,3,3,2,0,0,0,0,16,1.3,1
jacobi-2d,init_array,1,2,1,0,1,1298,1,1298,43,15,3,3,2,0,0,0,0,32,1.3,1
jacobi-2d,init_array,1,2,1,0,1,1298,1,1298,43,15,3,3,2,0,0,0,0,64,1.3,1
jacobi-2d,kernel_jacobi_2d,2,1,0,2,1,1298,1,1298,171,61,11,17,10,0,0,0,0,8,1.3,1
jacobi-2d,kernel_jacobi_2d,2,1,0,2,1,1298,1,1298,171,61,11,17,10,0,0,0,0,16,1.3,1
jacobi-2d,kernel_jacobi_2d,2,1,0,2,1,1298,1,1298,171,61,11,17,10,0,0,0,0,32,1.3,1
jacobi-2d,kernel_jacobi_2d,2,1,0,2,1,1298,1,1298,171,61,11,17,10,0,0,0,0,64,1.3,1
jacobi-2d,kernel_jacobi_2d,3,2,0,1,1,1298,1,1298,79,29,4,8,5,0,0,0,0,8,1.3,1
jacobi-2d,kernel_jacobi_2d,3,2,0,1,1,1298,1,1298,79,29,4,8,5,0,0,0,0,16,1.3,1
jacobi-2d,kernel_jacobi_2d,3,2,0,1,1,1298,1,1298,79,29,4,8,5,0,0,0,0,32,1.3,1
jacobi-2d,kernel_jacobi_2d,3,2,0,1,1,1298,1,1298,79,29,4,8,5,0,0,0,0,64,1.3,1
jacobi-2d,kernel_jacobi_2d,4,3,1,0,1,1298,1,1298,67,26,2,6,5,0,0,0,0,8,1.3,1
jacobi-2d,kernel_jacobi_2d,4,3,1,0,1,1298,1,1298,67,26,2,6,5,0,0,0,0,16,1.3,1
jacobi-2d,kernel_jacobi_2d,4,3,1,0,1,1298,1,1298,67,26,2,6,5,0,0,0,0,32,1.3,1
jacobi-2d,kernel_jacobi_2d,4,3,1,0,1,1298,1,1298,67,26,2,6,5,0,0,0,0,64,1.3,1
jacobi-2d,kernel_jacobi_2d,5,2,0,1,1,1300,1,1300,79,29,4,8,5,0,0,0,0,8,1.3,1
jacobi-2d,kernel_jacobi_2d,5,2,0,1,1,1300,1,1300,79,29,4,8,5,0,0,0,0,16,1.3,1
jacobi-2d,kernel_jacobi_2d,5,2,0,1,1,1300,1,1300,79,29,4,8,5,0,0,0,0,32,1.3,1
jacobi-2d,kernel_jacobi_2d,5,2,0,1,1,1300,1,1300,79,29,4,8,5,0,0,0,0,64,1.3,1
jacobi-2d,kernel_jacobi_2d,6,3,1,0,1,1300,1,1300,67,26,2,6,5,0,0,0,0,8,1.3,1
jacobi-2d,kernel_jacobi_2d,6,3,1,0,1,1300,1,1300,67,26,2,6,5,0,0,0,0,16,1.3,1
jacobi-2d,kernel_jacobi_2d,6,3,1,0,1,1300,1,1300,67,26,2,6,5,0,0,0,0,32,1.3,1
jacobi-2d,kernel_jacobi_2d,6,3,1,0,1,1300,1,1300,67,26,2,6,5,0,0,0,0,64,1.3,1
jacobi-2d,print_array,7,1,0,1,1,1300,1,1300,41,15,3,5,0,0,0,0,0,8,1.096,1
jacobi-2d,print_array,7,1,0,1,1,1300,1,1300,41,15,3,5,0,0,0,0,0,16,1.112,1
jacobi-2d,print_array,7,1,0,1,1,1300,1,1300,41,15,3,5,0,0,0,0,0,32,1.154,1
jacobi-2d,print_array,7,1,0,1,1,1300,1,1300,41,15,3,5,0,0,0,0,0,64,1.128,1
jacobi-2d,print_array,8,2,1,0,1,1300,1,1300,30,12,1,4,0,0,0,0,0,8,1.254,1
jacobi-2d,print_array,8,2,1,0,1,1300,1,1300,30,12,1,4,0,0,0,0,0,16,1.27,1
jacobi-2d,print_array,8,2,1,0,1,1300,1,1300,30,12,1,4,0,0,0,0,0,32,1.3,1
jacobi-2d,print_array,8,2,1,0,1,1300,1,1300,30,12,1,4,0,0,0,0,0,64,1.286,1
