benchmark,function,loop_id,unroll_factor,loop_depth,is_innermost,has_parent_loop,num_subloops,num_basic_blocks,num_exiting_blocks,num_instructions,num_phi_nodes,num_terminator_instructions,num_loads,num_stores,num_integer_ops,num_float_ops,num_branches,num_conditional_branches,num_calls,trip_count_known,trip_count,max_trip_count_known,max_trip_count,memory_op_ratio,control_overhead_ratio,arithmetic_intensity,baseline_mean_seconds,candidate_mean_seconds,candidate_stddev_seconds,candidate_median_seconds,candidate_min_seconds,candidate_max_seconds,speedup,profitable
3mm,kernel_3mm,12,16,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,1200,1,1200,0.4814815,0.1296296,0.07692308,2.82929243796,2.7862285626800003,0.07905522211247736,2.75249577568,2.71057650368,3.0635760456799996,1.0154559736616071,1
3mm,kernel_3mm,13,2,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1000,1,1000,0.4857143,0.08571429,0.05882353,2.82929243796,2.78325658846,0.03149230804388998,2.77234645298,2.74516304398,2.84798766998,1.0165402822330054,1
3mm,kernel_3mm,13,4,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1000,1,1000,0.4857143,0.08571429,0.05882353,2.82929243796,2.83505180244,0.03370852517084529,2.8261023244800003,2.78591441548,2.91784259748,0.9979685152578012,0
3mm,kernel_3mm,13,8,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1000,1,1000,0.4857143,0.08571429,0.05882353,2.82929243796,2.98300540876,0.09872787831967517,2.9638738626400003,2.86801673564,3.23875443364,0.9484704351025979,0
3mm,kernel_3mm,13,16,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1000,1,1000,0.4857143,0.08571429,0.05882353,2.82929243796,2.75790495126,0.03190697499416388,2.7442348254600004,2.7124182124600003,2.82545235746,1.0258846798427137,1
3mm,kernel_3mm,14,2,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,900,1,900,0.4769231,0.1692308,0.09677419,2.82929243796,2.78980580148,0.041798168044555536,2.7888495517200003,2.7323231577200002,2.92252227172,1.01415390148628,1
3mm,kernel_3mm,14,4,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,900,1,900,0.4769231,0.1692308,0.09677419,2.82929243796,2.78359098114,0.03304110905818647,2.7713332419000003,2.7428607649,2.8653545599,1.0164181652870865,1
3mm,kernel_3mm,14,8,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,900,1,900,0.4769231,0.1692308,0.09677419,2.82929243796,2.76930326256,0.05146769203531489,2.74930625516,2.70268966116,2.9102642331600004,1.021662190707328,1
3mm,kernel_3mm,14,16,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,900,1,900,0.4769231,0.1692308,0.09677419,2.82929243796,2.777810198940001,0.0526572789633006,2.75774354658,2.71374032658,2.93370933958,1.018533389732547,1
3mm,kernel_3mm,15,2,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,800,1,800,0.4814815,0.1296296,0.07692308,2.82929243796,2.78431791774,0.05181204582361405,2.77550911714,2.72733590114,2.90379376714,1.016152796321659,1
3mm,kernel_3mm,15,4,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,800,1,800,0.4814815,0.1296296,0.07692308,2.82929243796,2.8337891023400004,0.07762033141377038,2.82253846414,2.74528687214,3.05029254914,0.9984131972360656,0
3mm,kernel_3mm,15,8,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,800,1,800,0.4814815,0.1296296,0.07692308,2.82929243796,2.8048292090199998,0.07196160382957226,2.7873486273,2.7221983903,3.0141546593,1.0087218247946539,1
3mm,kernel_3mm,15,16,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,800,1,800,0.4814815,0.1296296,0.07692308,2.82929243796,2.8455011420400007,0.09006089509256703,2.8181816225600005,2.74953608156,3.0431307265600003,0.9943037436040597,0
3mm,kernel_3mm,16,2,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1000,1,1000,0.4857143,0.08571429,0.05882353,2.82929243796,2.77745818508,0.06191749831088808,2.7640712310000004,2.7059604970000004,2.954182685,1.018662478217834,1
3mm,kernel_3mm,16,4,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1000,1,1000,0.4857143,0.08571429,0.05882353,2.82929243796,2.8074525262400005,0.1484932906809531,2.76762728732,2.71126794732,3.46271032432,1.0077792630564084,1
3mm,kernel_3mm,16,8,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1000,1,1000,0.4857143,0.08571429,0.05882353,2.82929243796,2.917547333200001,0.13044918656261098,2.90177078044,2.73364001844,3.13923499244,0.9697503124505604,0
3mm,kernel_3mm,16,16,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1000,1,1000,0.4857143,0.08571429,0.05882353,2.82929243796,2.7975761585400005,0.06795700415722024,2.78872040706,2.72441948706,2.99413595706,1.011337056659988,1
3mm,print_array,17,2,1,0,0,1,9,1,41,0,9,15,3,5,0,9,3,2,1,800,1,800,0.4390244,0.2195122,0.2777778,2.82929243796,2.8154314896999995,0.054149373067952755,2.8055449355400004,2.74719651954,2.9528577845400004,1.004923205665174,1
3mm,print_array,17,4,1,0,0,1,9,1,41,0,9,15,3,5,0,9,3,2,1,800,1,800,0.4390244,0.2195122,0.2777778,2.82929243796,2.7938779102200004,0.06619363103240125,2.7663038552200003,2.71911018522,2.99473775622,1.012675760673168,1
3mm,print_array,17,8,1,0,0,1,9,1,41,0,9,15,3,5,0,9,3,2,1,800,1,800,0.4390244,0.2195122,0.2777778,2.82929243796,2.8465658072600006,0.14337787295145277,2.7685124403000003,2.7254353613,3.3247782933,0.9939318566758774,0
3mm,print_array,17,16,1,0,0,1,9,1,41,0,9,15,3,5,0,9,3,2,1,800,1,800,0.4390244,0.2195122,0.2777778,2.82929243796,2.9233202659599993,0.11464663054046692,2.9213119778800003,2.7690863418800005,3.1102089688800003,0.9678352628362732,0
3mm,print_array,18,2,2,1,1,0,5,1,30,0,5,12,1,4,0,5,2,2,1,1100,1,1100,0.4333333,0.1666667,0.3076923,2.82929243796,2.87527985416,0.09141614298149903,2.85651114548,2.77544451748,3.13600712948,0.9840059338455474,0
3mm,print_array,18,4,2,1,1,0,5,1,30,0,5,12,1,4,0,5,2,2,1,1100,1,1100,0.4333333,0.1666667,0.3076923,2.82929243796,2.7991542562200005,0.06569102489209451,2.77550823986,2.7256192498600003,2.94378158086,1.0107668884889174,1
3mm,print_array,18,8,2,1,1,0,5,1,30,0,5,12,1,4,0,5,2,2,1,1100,1,1100,0.4333333,0.1666667,0.3076923,2.82929243796,2.9352584425000003,0.15806290344199453,2.8755381892600003,2.7385660182600002,3.37829359526,0.9638989184033323,0
3mm,print_array,18,16,2,1,1,0,5,1,30,0,5,12,1,4,0,5,2,2,1,1100,1,1100,0.4333333,0.1666667,0.3076923,2.82929243796,2.8342991765799996,0.08867541004531813,2.81540206754,2.74075802754,3.01679708654,0.9982335179499149,0
