benchmark,loop1_id,loop2_id,loop1_trip_count_known,loop1_trip_count,loop1_num_instructions,loop1_num_loads,loop1_num_stores,loop1_num_forward_contiguous_loads,loop1_num_forward_contiguous_stores,loop1_num_integer_ops,loop1_num_float_ops,loop1_num_branches,loop1_num_calls,loop1_memory_op_ratio,loop1_contiguous_memory_ops,loop2_trip_count_known,loop2_trip_count,loop2_num_instructions,loop2_num_loads,loop2_num_stores,loop2_num_forward_contiguous_loads,loop2_num_forward_contiguous_stores,loop2_num_integer_ops,loop2_num_float_ops,loop2_num_branches,loop2_num_calls,loop2_memory_op_ratio,loop2_contiguous_memory_ops,loops_adjacent,trip_count_equal,trip_count_ratio,shared_memory_objects,loop1_stores_read_by_loop2,loop2_stores_read_by_loop1,combined_memory_ops,fusion_score,label
2mm,6,7,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,0,0.6666666666666666,1,1,1,29,3.0,1
2mm,1,15,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,1200.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,25,4.0,1
jacobi-2d,3,7,1,1298.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,1,1300.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,0.9984615384615385,1,1,1,51,1.0,0
gemm,8,9,1,1000.0,48.0,19.0,4.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4791667,0.0,1,1100.0,37.0,16.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.4864865,0.0,1,0,0.9090909090909091,1,1,1,41,5.0,1
atax,1,5,1,2100.0,27.0,10.0,2.0,2.0,1.0,4.0,1.0,3.0,0.0,0.4444444,3.0,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,0,1,1.0,1,1,1,29,4.310344827586207,1
gemm,2,3,1,1200.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,27.0,10.0,2.0,3.0,1.0,4.0,1.0,3.0,0.0,0.4444444,4.0,1,0,1.0909090909090908,1,1,1,29,5.413793103448276,1
3mm,6,7,1,800.0,39.0,13.0,4.0,0.0,0.0,6.0,1.0,7.0,0.0,0.4358974,0.0,1,900.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,0,0.8888888888888888,1,1,1,29,5.0,1
3mm,17,18,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,1,0,0.7272727272727273,1,1,1,31,3.0,1
jacobi-2d,0,6,1,500.0,54.0,18.0,5.0,0.0,0.0,4.0,2.0,7.0,2.0,0.4259259,0.0,1,1300.0,67.0,26.0,2.0,0.0,0.0,6.0,5.0,3.0,0.0,0.4179104,0.0,0,0,0.38461538461538464,1,1,1,51,-1.0,0
3mm,13,14,1,1000.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,1,0,1.1111111111111112,1,1,1,48,5.0,1
2mm,8,14,1,900.0,68.0,26.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4852941,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.125,1,1,1,51,1.0,0
3mm,6,18,1,800.0,39.0,13.0,4.0,0.0,0.0,6.0,1.0,7.0,0.0,0.4358974,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.7272727272727273,1,1,1,30,-1.0,0
gemm,10,11,1,1000.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,1,0,0.9090909090909091,1,1,1,31,5.0,1
2mm,8,11,1,900.0,68.0,26.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4852941,0.0,1,900.0,67.0,25.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4776119,0.0,0,1,1.0,1,1,1,65,3.0,1
3mm,1,2,1,1100.0,29.0,10.0,2.0,0.0,0.0,6.0,1.0,3.0,0.0,0.4137931,0.0,1,900.0,39.0,13.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,0.4358974,2.0,1,0,1.2222222222222223,1,1,1,29,5.206896551724139,1
2mm,0,9,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,57.0,23.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4912281,0.0,0,0,0.6666666666666666,1,1,1,45,-1.0,0
2mm,3,10,1,800.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,0,0.7272727272727273,1,1,1,29,0.0,0
2mm,8,13,1,900.0,68.0,26.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4852941,0.0,1,1100.0,37.0,16.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.4864865,0.0,0,0,0.8181818181818182,1,1,1,51,1.0,0
3mm,9,12,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,0,1,1.0,1,1,1,52,3.0,1
2mm,3,14,1,800.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,1,1.0,1,1,1,30,3.0,1
gemm,8,10,1,1000.0,48.0,19.0,4.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4791667,0.0,1,1000.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,1,1.0,1,1,1,41,3.0,1
3mm,0,5,1,800.0,40.0,13.0,4.0,0.0,0.0,7.0,1.0,7.0,0.0,0.425,0.0,1,1200.0,29.0,10.0,2.0,1.0,1.0,6.0,1.0,3.0,0.0,0.4137931,2.0,0,0,0.6666666666666666,1,1,1,29,-0.7931034482758621,0
2mm,10,14,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.375,1,1,1,35,-1.0,0
gemm,1,2,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,1200.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,0,0.9166666666666666,1,1,1,29,5.206896551724139,1
2mm,4,9,1,900.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,57.0,23.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4912281,0.0,0,0,0.75,1,1,1,45,1.0,0
gemm,5,11,1,1100.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,25,4.0,1
atax,3,5,1,1900.0,84.0,35.0,8.0,0.0,0.0,3.0,0.0,11.0,2.0,0.5119048,0.0,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,0,0,0.9047619047619048,1,1,1,60,1.0,0
2mm,8,9,1,900.0,68.0,26.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4852941,0.0,1,1200.0,57.0,23.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4912281,0.0,1,0,0.75,1,1,1,61,5.0,1
2mm,10,15,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,1200.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.9166666666666666,1,1,1,30,1.0,0
3mm,10,15,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,800.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,0,0,1.375,1,1,1,43,-1.0,0
3mm,0,18,1,800.0,40.0,13.0,4.0,0.0,0.0,7.0,1.0,7.0,0.0,0.425,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.7272727272727273,1,1,1,30,-1.0,0
3mm,15,17,1,800.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,1,1.0,1,1,1,44,3.0,1
3mm,10,14,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,0,0,1.2222222222222223,1,1,1,48,1.0,0
atax,4,6,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,1,2100.0,14.0,5.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.5,0.0,0,1,1.0,1,1,1,24,4.0,1
2mm,9,14,1,1200.0,57.0,23.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4912281,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.5,1,1,1,46,-1.0,0
atax,0,4,1,1900.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,0,0,0.9047619047619048,1,1,1,34,1.0,0
gemm,0,5,1,1000.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,0,0,0.9090909090909091,1,1,1,29,1.0,0
3mm,12,17,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.5,1,1,1,44,-1.0,0
3mm,6,9,1,800.0,39.0,13.0,4.0,0.0,0.0,6.0,1.0,7.0,0.0,0.4358974,0.0,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,0,0,0.6666666666666666,1,1,1,43,-1.0,0
3mm,16,18,1,1000.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.9090909090909091,1,1,1,30,1.0,0
3mm,10,18,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,30,3.0,1
3mm,8,16,1,1000.0,65.0,24.0,7.0,1.0,1.0,3.0,0.0,11.0,1.0,0.4769231,2.0,1,1000.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,1,1.0,1,1,1,48,3.125,1
3mm,10,13,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,1000.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,0,1.1,1,1,1,34,1.0,0
gemm,0,9,1,1000.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,37.0,16.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.4864865,0.0,0,0,0.9090909090909091,1,1,1,35,1.0,0
2mm,1,14,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.5,1,1,1,30,-1.0,0
2mm,3,6,1,800.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,0,1,1.0,1,1,1,29,3.0,1
atax,3,6,1,1900.0,84.0,35.0,8.0,0.0,0.0,3.0,0.0,11.0,2.0,0.5119048,0.0,1,2100.0,14.0,5.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.5,0.0,0,0,0.9047619047619048,1,1,1,50,1.0,0
3mm,4,6,1,1100.0,40.0,13.0,4.0,0.0,0.0,7.0,1.0,7.0,0.0,0.425,0.0,1,800.0,39.0,13.0,4.0,0.0,0.0,6.0,1.0,7.0,0.0,0.4358974,0.0,0,0,1.375,1,1,1,34,-1.0,0
jacobi-2d,2,4,1,1298.0,171.0,61.0,11.0,5.0,1.0,17.0,10.0,19.0,0.0,0.4210526,6.0,1,1298.0,67.0,26.0,2.0,5.0,1.0,6.0,5.0,3.0,0.0,0.4179104,6.0,0,1,1.0,1,1,1,100,3.3600000000000003,1
2mm,8,12,1,900.0,68.0,26.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4852941,0.0,1,800.0,56.0,22.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4821429,0.0,0,0,1.125,1,1,1,60,1.0,0
3mm,7,14,1,900.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,0,1,1.0,1,1,1,43,3.0,1
2mm,5,6,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,0,1.375,1,1,1,29,3.206896551724138,1
3mm,6,10,1,800.0,39.0,13.0,4.0,0.0,0.0,6.0,1.0,7.0,0.0,0.4358974,0.0,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,0,0.7272727272727273,1,1,1,34,-1.0,0
3mm,2,14,1,900.0,39.0,13.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,0.4358974,2.0,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,0,1,1.0,1,1,1,48,3.125,1
3mm,10,11,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,1,0,1.2222222222222223,1,1,1,48,5.0,1
3mm,9,18,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,1.0909090909090908,1,1,1,39,1.0,0
3mm,5,12,1,1200.0,29.0,10.0,2.0,1.0,1.0,6.0,1.0,3.0,0.0,0.4137931,2.0,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,0,1,1.0,1,1,1,38,3.1578947368421053,1
2mm,2,8,1,900.0,39.0,13.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,0.4358974,2.0,1,900.0,68.0,26.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4852941,0.0,0,1,1.0,1,1,1,50,3.12,1
jacobi-2d,2,3,1,1298.0,171.0,61.0,11.0,5.0,1.0,17.0,10.0,19.0,0.0,0.4210526,6.0,1,1298.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,1,1,1.0,1,1,1,105,7.171428571428571,1
gemm,1,5,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,1100.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,0,1,1.0,1,1,1,24,4.25,1
2mm,0,5,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,0,0,0.7272727272727273,1,1,1,29,-0.7931034482758621,0
3mm,0,10,1,800.0,40.0,13.0,4.0,0.0,0.0,7.0,1.0,7.0,0.0,0.425,0.0,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,0,0.7272727272727273,1,1,1,34,-1.0,0
jacobi-2d,1,5,1,1298.0,43.0,15.0,3.0,0.0,0.0,3.0,2.0,3.0,2.0,0.4186047,0.0,1,1300.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,0,0,0.9984615384615385,1,1,1,51,1.0,0
2mm,1,7,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,0,1,1.0,1,1,1,24,4.0,1
2mm,8,15,1,900.0,68.0,26.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4852941,0.0,1,1200.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.75,1,1,1,46,1.0,0
2mm,14,15,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,1,1200.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,1,0,0.6666666666666666,1,1,1,31,3.0,1
2mm,6,15,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.6666666666666666,1,1,1,30,-1.0,0
2mm,4,12,1,900.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,800.0,56.0,22.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4821429,0.0,0,0,1.125,1,1,1,44,1.0,0
3mm,16,17,1,1000.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,1,0,1.25,1,1,1,35,5.0,1
atax,0,1,1,1900.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,2100.0,27.0,10.0,2.0,2.0,1.0,4.0,1.0,3.0,0.0,0.4444444,3.0,1,0,0.9047619047619048,1,1,1,29,5.310344827586206,1
3mm,14,15,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,1,800.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,1,0,1.125,1,1,1,57,5.0,1
3mm,11,12,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,1,0,0.75,1,1,1,57,5.0,1
2mm,3,4,1,800.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,900.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,0,0.8888888888888888,1,1,1,29,5.0,1
